"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Hazy_Localization.txt:28","スロット{0}","Slot {0}","save_slotname","False","","",""
"Hazy_Localization.txt:29","データなし","No data","save_nodata","False","","",""
"Hazy_Localization.txt:30","ストーリーチャート","Story Chart","save_place_storychart","False","","",""
"Hazy_Localization.txt:31","前口上","Introduction","save_place_first","False","","",""
"Hazy_Localization.txt:32","ゲーム","Game","option_cate_game","False","","",""
"Hazy_Localization.txt:33","サウンド","Audio","option_cate_sound","False","","",""
"Hazy_Localization.txt:34","ビデオ","Video","option_cate_video","False","","",""
"Hazy_Localization.txt:35","コントロール","Controls","option_cate_controller","False","","",""
"Hazy_Localization.txt:36","このタブを初期化","Restore Defaults","option_btn_initialize","False","","",""
"Hazy_Localization.txt:37","セーブデータ全消去","Delete Save Data","option_btn_alldelete_savedata","False","","",""
"Hazy_Localization.txt:38","すべて反映","Apply All","option_btn_enter","False","","",""
"Hazy_Localization.txt:39","キャンセル","Cancel","option_cancel","False","","",""
"Hazy_Localization.txt:40","サウンド設定","Audio Settings","option_sound_title","False","","",""
"Hazy_Localization.txt:41","ＢＧＭ音量","Music Volume","option_sound_bgm","False","","",""
"Hazy_Localization.txt:42","ＳＥ音量","SFX Volume","option_sound_se","False","","",""
"Hazy_Localization.txt:43","ボイス音量","Voice Volume","option_sound_voice","False","","",""
"Hazy_Localization.txt:44","ゲーム設定","Game Settings","option_game_title","False","","",""
"Hazy_Localization.txt:45","言語設定","Game Language","option_game_language","False","","",""
"Hazy_Localization.txt:46","振動","Vibration","option_game_viblation","False","","",""
"Hazy_Localization.txt:47","メッセージスピード","Text Speed","option_game_speed","False","","",""
"Hazy_Localization.txt:48","画面の明るさ","Brightness","option_game_brightness","False","","",""
"Hazy_Localization.txt:49","右側の画像の形がギリギリわかる程度に 明るさを調整してください","Adjust brightness until the image on the right is barely visible","option_game_brightness_message","False","","",""
"Hazy_Localization.txt:50","English","English","option_game_language_button1","False","","",""
"Hazy_Localization.txt:51","日本語","日本語","option_game_language_button2","False","","",""
"Hazy_Localization.txt:52","ON","On","option_toggle_on","False","","",""
"Hazy_Localization.txt:53","OFF","Off","option_toggle_off","False","","",""
"Hazy_Localization.txt:54","遅い","Slow","option_game_speed_low","False","","",""
"Hazy_Localization.txt:55","普通","Normal","option_game_speed_normal","False","","",""
"Hazy_Localization.txt:56","速い","Fast","option_game_speed_fast","False","","",""
"Hazy_Localization.txt:57","瞬時","Instant","option_game_speed_moment","False","","",""
"Hazy_Localization.txt:58","暗い","Dark","option_game_screen_dark","False","","",""
"Hazy_Localization.txt:59","やや暗い","Fairly Dark","option_game_screen_littledark","False","","",""
"Hazy_Localization.txt:60","普通","Normal","option_game_screen_normal","False","","",""
"Hazy_Localization.txt:61","やや明るい","Fairly Bright","option_game_screen_littlebright","False","","",""
"Hazy_Localization.txt:62","明るい","Bright","option_game_screen_bright","False","","",""
"Hazy_Localization.txt:63","ビデオ設定","Video Settings","option_video_title","False","","",""
"Hazy_Localization.txt:64","描画解像度","Resolution","option_video_render_resolution","False","","",""
"Hazy_Localization.txt:65","アンチエイリアス","Anti-Aliasing","option_video_antialiasing","False","","",""
"Hazy_Localization.txt:66","ポストエフェクト","Post-Processing","option_video_post_effect","False","","",""
"Hazy_Localization.txt:67","低解像度","Low-Res","low_resolution","False","","",""
"Hazy_Localization.txt:68","標準","Standard","standard","False","","",""
"Hazy_Localization.txt:69","高解像度","High-Res","hi_resolution","False","","",""
"Hazy_Localization.txt:70","低","Low","low","False","","",""
"Hazy_Localization.txt:71","高","High","high","False","","",""
"Hazy_Localization.txt:72","描画負荷設定","Rendering Load","option_video_render_load","False","","",""
"Hazy_Localization.txt:73","低負荷","Minimal","low_load","False","","",""
"Hazy_Localization.txt:74","やや低負荷","Economic","slightly_low_load","False","","",""
"Hazy_Localization.txt:75","画面解像度","Standard","option_video_screen_resolution","False","","",""
"Hazy_Localization.txt:76","画面モード","Display Mode","option_video_screen_mode","False","","",""
"Hazy_Localization.txt:77","ウインドウ","Windowed","option_video_window","False","","",""
"Hazy_Localization.txt:78","ボーダーレス","Borderless","option_video_borderless","False","","",""
"Hazy_Localization.txt:79","フルスクリーン","Fullscreen","option_video_full_screen","False","","",""
"Hazy_Localization.txt:80","1280×720","1280×720","option_video_1","False","","",""
"Hazy_Localization.txt:81","1366×768","1366×768","option_video_2","False","","",""
"Hazy_Localization.txt:82","1600×900","1600×900","option_video_3","False","","",""
"Hazy_Localization.txt:83","1920×1080","1920×1080","option_video_4","False","","",""
"Hazy_Localization.txt:84","コントロール設定","Controls Settings","option_controller_title","False","","",""
"Hazy_Localization.txt:85","コントローラー持ち方","Controller Mode","option_controller_hold","False","","",""
"Hazy_Localization.txt:86","視点操作(上下)","Camera (Vertical)","option_controller_view1","False","","",""
"Hazy_Localization.txt:87","視点操作(左右)","Camera (Horizontal)","option_controller_view2","False","","",""
"Hazy_Localization.txt:88","決定ボタンの設定","Confirm Button Settings","option_controller_button","False","","",""
"Hazy_Localization.txt:89","通常","Standard","normal","False","","",""
"Hazy_Localization.txt:90","上下反転","Inverted","option_controller_flip_ud","False","","",""
"Hazy_Localization.txt:91","左右反転","Inverted","option_controller_flip_lr","False","","",""
"Hazy_Localization.txt:92","変更","Rebind","change","False","","",""
"Hazy_Localization.txt:93","決定／キャンセルボタンの割り当てを変更します。<br>","Switch Confirm/Cancel Buttons<br>","option_controller_message","False","","",""
"Hazy_Localization.txt:94","決定","Confirm","keyconfig_enter","False","","",""
"Hazy_Localization.txt:95","選択:上","Up (Selection)","keyconfig_select_up","False","","",""
"Hazy_Localization.txt:96","選択:下","Down (Selection)","keyconfig_select_down","False","","",""
"Hazy_Localization.txt:97","選択:左","Left (Selection)","keyconfig_select_left","False","","",""
"Hazy_Localization.txt:98","選択:右","Right (Selection)","keyconfig_select_right","False","","",""
"Hazy_Localization.txt:99","カーソル:上","Up (Cursor)","keyconfig_camera_up","False","","",""
"Hazy_Localization.txt:100","カーソル:下","Down (Cursor)","keyconfig_camera_down","False","","",""
"Hazy_Localization.txt:101","カーソル:左","Left (Cursor)","keyconfig_camera_left","False","","",""
"Hazy_Localization.txt:102","カーソル:右","Right (Cursor)","keyconfig_camera_right","False","","",""
"Hazy_Localization.txt:103","呪詛行使","Use Curse","keyconfig_skill","False","","",""
"Hazy_Localization.txt:104","メニュー","Menu","keyconfig_menu","False","","",""
"Hazy_Localization.txt:105","AUTO","Auto","keyconfig_auto","False","","",""
"Hazy_Localization.txt:106","キーボード操作のキーコンフィグ","Key Bindings","keyconfig_title","False","","",""
"Hazy_Localization.txt:107","入力したキーは使用できません。","This key cannot be used.","keyconfig_conflict","False","","",""
"Hazy_Localization.txt:108","設定するキーを入力してください。<br>（ESC でキャンセル）","Press key to bind.<br>(Esc to cancel)","keyconfig_dialog_title","False","","",""
"Hazy_Localization.txt:109","Now Loading...","Now Loading...","nowloading","False","","",""
"Hazy_Localization.txt:110","設定を変更せずに 終了いたしますか？","Exit without making changes?","option_return_msg","False","","",""
"Hazy_Localization.txt:111","更新ページを開く","Open updates page","msgbox_open_update_page","False","","",""
"Hazy_Localization.txt:112","セーブして ゲームを終了いたします。
よろしいですか？","Do you wish to save and quit the game?","msgbox_game_end","False","","",""
"Hazy_Localization.txt:113","表示中のタブの設定を<br>初期状態に戻しますか？","Do you wish to restore all settings on this page to their defaults?","msgbox_init_option_settings","False","","",""
"Hazy_Localization.txt:114","ゲームスタート","Start Game","game_title_game_start","False","","",""
"Hazy_Localization.txt:115","©2023 SQUARE ENIX CO., LTD. All Rights Reserved.","©2023 SQUARE ENIX CO., LTD. All Rights Reserved.","copywriter","False","","",""
"Hazy_Localization.txt:116","全てのデータが消去されます。
本当によろしいですか？<br>","All game data will be deleted.
Are you sure you wish to do this?<br>","option_alldel_btn_message","False","","",""
"Hazy_Localization.txt:117","ストーリーチャートに 戻ります。よろしいですか？
[c3]※まだ終了していないチャプターの場合は
また最初からやり直しになります。","Do you wish to return to the Story Chart?
[c3]Any incomplete chapters must be restarted from the beginning.","menu_storychart_message","False","","",""
"Hazy_Localization.txt:118","タイトルへ戻る","Return to Title","menu_btn_title","False","","",""
"Hazy_Localization.txt:119","セーブして タイトル画面に戻ります。
よろしいですか？","Do you wish to save the game and return to the title screen?","menu_title_message","False","","",""
"Hazy_Localization.txt:120","ゲームを終了いたしますか？","Do you wish to quit the game?","title_exit_dialog","False","","",""
"Hazy_Localization.txt:121","演出をスキップいたしますか？","Do you wish to skip the performance?","cancel_scroll_message","False","","",""
"Hazy_Localization.txt:122","【{0}】","[{0}]","option_keyconfig_subtitle","False","","",""
"Hazy_Localization.txt:123","PARANORMASIGHT","PARANORMA SIGHT","ac01_title","False","","",""
"Hazy_Localization.txt:124","すべての実績を獲得する","Acquire all other achievements.","ac01_detail","False","","",""
"Hazy_Localization.txt:125","東京なめどり連合","Mocking Bird Bancho","ac02_title","False","","",""
"Hazy_Localization.txt:126","なめどりシールをコンプリートした","Acquire a complete collection of Mocking Bird stickers.","ac02_detail","False","","",""
"Hazy_Localization.txt:127","本所事変完全掌握","Case Closed","ac03_title","False","","",""
"Hazy_Localization.txt:128","ストーリーをコンプリートした","Complete the story.","ac03_detail","False","","",""
"Hazy_Localization.txt:129","本所の人脈通","Honjo's Ace Detective","ac04_title","False","","",""
"Hazy_Localization.txt:130","人物リストをコンプリートした","Collect all information on Persons of Interest.","ac04_detail","False","","",""
"Hazy_Localization.txt:131","本所の情報屋","Honjo's Biggest Know-It-All","ac05_title","False","","",""
"Hazy_Localization.txt:132","資料をコンプリートした","Collect all Files.","ac05_detail","False","","",""
"Hazy_Localization.txt:133","本所七不思議制覇","Master of the Seven Mysteries","ac06_title","False","","",""
"Hazy_Localization.txt:134","呪影をコンプリートした","Acquire all Curse Echoes.","ac06_detail","False","","",""
"Hazy_Localization.txt:135","なめどりエキスパート","Mocking Bird Maniac","ac07_title","False","","",""
"Hazy_Localization.txt:136","なめどりシールを１５種類獲得した","Collect 15 Mocking Bird stickers.","ac07_detail","False","","",""
"Hazy_Localization.txt:137","責務完遂","Obligation Fulfilled","ac08_title","False","","",""
"Hazy_Localization.txt:138","興家彰吾のエンディングを迎えた","Reach Shogo Okiie's ending.","ac08_detail","False","","",""
"Hazy_Localization.txt:139","なめどりコレクター","Mocking Bird Collector","ac09_title","False","","",""
"Hazy_Localization.txt:140","なめどりシールを１０種類獲得した","Collect 10 Mocking Bird stickers.","ac09_detail","False","","",""
"Hazy_Localization.txt:141","真夜中の恐怖","Night Terrors","ac10_title","False","","",""
"Hazy_Localization.txt:142","真夜中にゲームをプレイする","Play the game in the middle of the night.","ac10_detail","False","","",""
"Hazy_Localization.txt:143","ベテラン探究者","Veteran Investigator","ac11_title","False","","",""
"Hazy_Localization.txt:144","プレイ時間が１０時間に達した","Accumulate 10 hours of playtime.","ac11_detail","False","","",""
"Hazy_Localization.txt:145","脱三日坊主","Don't Be a Quitter","ac12_title","False","","",""
"Hazy_Localization.txt:146","３日後にゲームをプレイする","Play the game again after 3 days.","ac12_detail","False","","",""
"Hazy_Localization.txt:147","志岐間春恵の伝説","Harue's Legacy","ac13_title","False","","",""
"Hazy_Localization.txt:148","志岐間春恵のエンディングを迎えた","Reach Harue Shigima's ending.","ac13_detail","False","","",""
"Hazy_Localization.txt:149","襟尾純の選択","Erio's Choice","ac14_title","False","","",""
"Hazy_Localization.txt:150","津詰徹生のエンディングを迎えた","Reach Tetsuo Tsutsumi's ending.","ac14_detail","False","","",""
"Hazy_Localization.txt:151","白石美智代の怨讐","Michiyo's Grudge","ac15_title","False","","",""
"Hazy_Localization.txt:152","逆崎約子のエンディングを迎えた","Reach Yakko Sakazaki's ending.","ac15_detail","False","","",""
"Hazy_Localization.txt:153","根島史周の追慕","Nejima's Reminiscence","ac16_title","False","","",""
"Hazy_Localization.txt:154","葦宮バッドエンドを迎えた","Reach Ashimiya's bad ending.","ac16_detail","False","","",""
"Hazy_Localization.txt:155","灯野あやめの本懐","Ayame's Aspiration","ac17_title","False","","",""
"Hazy_Localization.txt:156","あやめバッドエンドを迎えた","Reach Ayame's bad ending.","ac17_detail","False","","",""
"Hazy_Localization.txt:157","なめどりビギナー","Mocking Bird Enthusiast","ac18_title","False","","",""
"Hazy_Localization.txt:158","なめどりシールを５種類獲得した","Collect 5 Mocking Bird stickers.","ac18_detail","False","","",""
"Hazy_Localization.txt:159","ヒヨっ子なめどり","Mocking Chick","ac19_title","False","","",""
"Hazy_Localization.txt:160","なめどりシールを１種類獲得した","Collect your first Mocking Bird sticker.","ac19_detail","False","","",""
"Hazy_Localization.txt:161","殺したのは誰？","Whodunit","ac20_title","False","","",""
"Hazy_Localization.txt:162","案内人の質問に正解する","Answer the Storyteller's question correctly.","ac20_detail","False","","",""
"Hazy_Localization.txt:163","蘇りの秘術","The Rite of Resurrection","ac21_title","False","","",""
"Hazy_Localization.txt:164","序章をクリアした","Complete the prologue.","ac21_detail","False","","",""
"Hazy_Localization.txt:165","志岐間春恵の願い","Harue's Wish","ac22_title","False","","",""
"Hazy_Localization.txt:166","１章志岐間篇をクリアした","Complete the Harue branch of Chapter 1.","ac22_detail","False","","",""
"Hazy_Localization.txt:167","津詰徹生の捜査","Tsutsumi's Investigation","ac23_title","False","","",""
"Hazy_Localization.txt:168","１章津詰篇をクリアした","Complete the Tsutsumi branch of Chapter 1.","ac23_detail","False","","",""
"Hazy_Localization.txt:169","逆崎約子の友情","Yakko's Friendship","ac24_title","False","","",""
"Hazy_Localization.txt:170","１章逆崎篇をクリアした","Complete the Yakko branch of Chapter 1.","ac24_detail","False","","",""
"Hazy_Localization.txt:171","志岐間春恵の覚悟","Harue's Resolve","ac25_title","False","","",""
"Hazy_Localization.txt:172","２章志岐間篇をクリアした","Complete the Harue branch of Chapter 2.","ac25_detail","False","","",""
"Hazy_Localization.txt:173","津詰徹生の後悔","Tsutsumi's Regret","ac26_title","False","","",""
"Hazy_Localization.txt:174","２章津詰篇をクリアした","Complete the Tsutsumi branch of Chapter 2.","ac26_detail","False","","",""
"Hazy_Localization.txt:175","逆崎約子の正義","Yakko's Righteousness","ac27_title","False","","",""
"Hazy_Localization.txt:176","２章逆崎篇をクリアした","Complete the Yakko branch of Chapter 2.","ac27_detail","False","","",""
"Hazy_Localization.txt:177","蝶澤麻由の脱出","Mayu's Escape","ac28_title","False","","",""
"Hazy_Localization.txt:178","２章蝶澤篇をクリアした","Complete the Mayu branch of Chapter 2.","ac28_detail","False","","",""
"Hazy_Localization.txt:179","興家彰吾の油断","Shogo's Blunder","ac29_title","False","","",""
"Hazy_Localization.txt:180","興家彰吾が死亡した","Witness the death of Shogo Okiie.","ac29_detail","False","","",""
"Hazy_Localization.txt:181","消えずの興家彰吾","Everburning Shogo","ac30_title","False","","",""
"Hazy_Localization.txt:182","興家彰吾が死亡した","Witness the death of Shogo Okiie.","ac30_detail","False","","",""
"Hazy_Localization.txt:183","足洗い興家彰吾","Foot-Washing Shogo","ac31_title","False","","",""
"Hazy_Localization.txt:184","興家彰吾が死亡した","Witness the death of Shogo Okiie.","ac31_detail","False","","",""
"Hazy_Localization.txt:185","送り興家彰吾","Haunting Shogo","ac32_title","False","","",""
"Hazy_Localization.txt:186","興家彰吾が死亡した","Witness the death of Shogo Okiie.","ac32_detail","False","","",""
"Hazy_Localization.txt:187","足洗い津詰徹生","Foot-Washing Tsutsumi","ac33_title","False","","",""
"Hazy_Localization.txt:188","津詰徹生が死亡した","Witness the death of Tetsuo Tsutsumi.","ac33_detail","False","","",""
"Hazy_Localization.txt:189","片葉の逆崎約子","One-Sided Yakko","ac34_title","False","","",""
"Hazy_Localization.txt:190","逆崎約子が死亡した","Witness the death of Yakko Sakazaki.","ac34_detail","False","","",""
"Hazy_Localization.txt:191","消えずの逆崎約子","Everburning Yakko","ac35_title","False","","",""
"Hazy_Localization.txt:192","逆崎約子が死亡した","Witness the death of Yakko Sakazaki.","ac35_detail","False","","",""
"Hazy_Localization.txt:193","AUTO切り替え(ボタン表示時)","Auto On/Off (While button is displayed)","operation_auto","False","","",""
"Hazy_Localization.txt:194","視点拡大","Zoom In","operation_expansion","False","","",""
"Hazy_Localization.txt:195","視点縮小","Zoom Out","operation_shrink","False","","",""
"Hazy_Localization.txt:196","カーソル移動","Move Cursor","operation_cursor_move","False","","",""
"Hazy_Localization.txt:197","項目選択","Select Object","operation_item_select","False","","",""
"Hazy_Localization.txt:198","視点移動/","Move Camera/","operation_perspective_move","False","","",""
"Hazy_Localization.txt:199","スクロール","Scroll","operation_scroll","False","","",""
"Hazy_Localization.txt:200","視点拡大/縮小","Zoom Out/In","operation_scaling","False","","",""
"Hazy_Localization.txt:201","タッチスクリーンでも操作可能<br>(視点移動は2本指でスワイプ)","<align=""left"">Controllable via touch screen<br>(Swipe with two fingers to move<br>camera)","operation_screen","False","","",""
"Hazy_Localization.txt:202","？？？","???","documentlist_disable_title","False","","",""
"Hazy_Localization.txt:203","？？？","???","save_charaname_unknown","False","","",""
"Hazy_Localization.txt:204","興家 彰吾","Shogo Okiie","txid_chr01_st","False","","",""
"Hazy_Localization.txt:205","福永 葉子","Yoko Fukunaga","txid_chr02_st","False","","",""
"Hazy_Localization.txt:206","志岐間 春恵","Harue Shigima","txid_chr03_st","False","","",""
"Hazy_Localization.txt:207","櫂 利飛太","Richter Kai","txid_chr04_st","False","","",""
"Hazy_Localization.txt:208","津詰 徹生","Tetsuo Tsutsumi","txid_chr05_st","False","","",""
"Hazy_Localization.txt:209","襟尾 純","Jun Erio","txid_chr06_st","False","","",""
"Hazy_Localization.txt:210","吉見 肇","Hajime Yoshimi","txid_chr07_st","False","","",""
"Hazy_Localization.txt:211","黒鈴 ミヲ","Mio Kurosuzu","txid_chr08_st","False","","",""
"Hazy_Localization.txt:212","逆崎 約子","Yakko Sakazaki","txid_chr09_st","False","","",""
"Hazy_Localization.txt:213","白石 美智代","Michiyo Shiraishi","txid_chr10_st","False","","",""
"Hazy_Localization.txt:214","奥田 瞳","Hitomi Okuda","txid_chr11_st","False","","",""
"Hazy_Localization.txt:215","城之内 耕兵","Kohei Jonouchi","txid_chr12_st","False","","",""
"Hazy_Localization.txt:216","葦宮 誠","Makoto Ashimiya","txid_chr13_st","False","","",""
"Hazy_Localization.txt:217","蝶澤 麻由","Mayu Chozawa","txid_chr14_st","False","","",""
"Hazy_Localization.txt:218","並垣 祐太郎","Yutaro Namigaki","txid_chr15_st","False","","",""
"Hazy_Localization.txt:219","灯野 あやめ","Ayame Tono","txid_chr16_st","False","","",""
"Hazy_Localization.txt:220","新石 英樹","Hideki Araishi","txid_chr17_st","False","","",""
"Hazy_Localization.txt:221","山森 ナツヱ","Natsue Yamamori","txid_chr18_st","False","","",""
"Hazy_Localization.txt:222","弓岡 巧己","Takumi Yumioka","txid_chr19_st","False","","",""
"Hazy_Localization.txt:223","岩井 官吉郎","Kankichiro Iwai","txid_chr20_st","False","","",""
"Hazy_Localization.txt:224","志岐間 修一","Shuichi Shigima","txid_chr21_st","False","","",""
"Hazy_Localization.txt:225","根島 史周","Fumichika Nejima","txid_chr22_st","False","","",""
"Hazy_Localization.txt:226","案内人","The Storyteller","txid_chr30_st","False","","",""
"Hazy_Localization.txt:227","ゲームの遊び方","How to Play","txid_doc01_st","False","","",""
"Hazy_Localization.txt:228","本所七不思議","The Seven Mysteries of Honjo","txid_doc04_st","False","","",""
"Hazy_Localization.txt:229","『置いてけ堀』","The Whispering Canal","txid_doc05_st","False","","",""
"Hazy_Localization.txt:230","『馬鹿囃子』","The Fool's Procession","txid_doc06_st","False","","",""
"Hazy_Localization.txt:231","『送り提灯』","The Beckoning Light","txid_doc07_st","False","","",""
"Hazy_Localization.txt:232","『送り拍子木』","The Haunting Clappers","txid_doc08_st","False","","",""
"Hazy_Localization.txt:233","『落葉なき椎』","The Evergreen Beech","txid_doc09_st","False","","",""
"Hazy_Localization.txt:234","『津軽の太鼓』","The Taiko of Tsugaru","txid_doc10_st","False","","",""
"Hazy_Localization.txt:235","『足洗い屋敷』","The Foot-Washing Mansion","txid_doc11_st","False","","",""
"Hazy_Localization.txt:236","『片葉の芦』","The One-Sided Reed","txid_doc12_st","False","","",""
"Hazy_Localization.txt:237","『消えずの行灯』","The Everburning Lantern","txid_doc13_st","False","","",""
"Hazy_Localization.txt:238","蘇りの秘術","The Rite of Resurrection","txid_doc15_st","False","","",""
"Hazy_Localization.txt:239","呪影／呪主","Curse Echoes/Curse Bearers","txid_doc17_st","False","","",""
"Hazy_Localization.txt:240","呪詛珠","Curse Stones","txid_doc18_st","False","","",""
"Hazy_Localization.txt:241","滓魂","Soul Dregs","txid_doc19_st","False","","",""
"Hazy_Localization.txt:242","禄命簿","The Record of Fates","txid_doc22_st","False","","",""
"Hazy_Localization.txt:243","禄命簿・陰の書","The Record of Fates Yin Scroll","txid_doc48_st","False","","",""
"Hazy_Localization.txt:244","霊夜祭","The Feast of Shadows","txid_doc25_st","False","","",""
"Hazy_Localization.txt:245","陰陽師","Onmyoji","txid_doc42_st","False","","",""
"Hazy_Localization.txt:246","西洋黒魔術","Western Black Magic","txid_doc49_st","False","","",""
"Hazy_Localization.txt:247","本所事変","The Honjo Incident","txid_doc14_st","False","","",""
"Hazy_Localization.txt:248","東京都墨田区","Sumida City, Tokyo","txid_doc02_st","False","","",""
"Hazy_Localization.txt:249","FILE23","File23","txid_doc20_st","False","","",""
"Hazy_Localization.txt:250","本所","Honjo","txid_doc03_st","False","","",""
"Hazy_Localization.txt:251","隅田川","Sumida River","txid_doc27_st","False","","",""
"Hazy_Localization.txt:252","両国橋","Ryogoku Bridge","txid_doc28_st","False","","",""
"Hazy_Localization.txt:253","駒形橋","Komagata Bridge","txid_doc29_st","False","","",""
"Hazy_Localization.txt:254","南割下水通り","South Warigesui Street","txid_doc30_st","False","","",""
"Hazy_Localization.txt:255","錦糸堀公園","Kinshibori Park","txid_doc31_st","False","","",""
"Hazy_Localization.txt:256","旧安田庭園","Former Yasuda Gardens","txid_doc32_st","False","","",""
"Hazy_Localization.txt:257","緑町公園","Midoricho Park","txid_doc33_st","False","","",""
"Hazy_Localization.txt:258","ヒハク石鹸","Hihaku Soaps","txid_doc23_st","False","","",""
"Hazy_Localization.txt:259","駒形高校","Komagata High School","txid_doc34_st","False","","",""
"Hazy_Localization.txt:260","志岐間邸","Shigima Residence","txid_doc35_st","False","","",""
"Hazy_Localization.txt:261","喫茶店 黒桔梗","Kurokikyo Cafe","txid_doc36_st","False","","",""
"Hazy_Localization.txt:262","駄菓子せんのや","Candy Shop Sennoya","txid_doc37_st","False","","",""
"Hazy_Localization.txt:263","アオサギ探偵堂","Azure Heron Agency","txid_doc41_st","False","","",""
"Hazy_Localization.txt:264","心霊対策室","Paranormal Affairs Bureau","txid_doc40_st","False","","",""
"Hazy_Localization.txt:265","オカルトブーム","Occult Craze","txid_doc16_st","False","","",""
"Hazy_Localization.txt:266","こっくりさん","Spirit Board","txid_doc24_st","False","","",""
"Hazy_Localization.txt:267","少年非行","Juvenile Delinquency","txid_doc43_st","False","","",""
"Hazy_Localization.txt:268","電話ボックス","Telephone Booth","txid_doc21_st","False","","",""
"Hazy_Localization.txt:269","葛飾北斎","Katsushika Hokusai","txid_doc38_st","False","","",""
"Hazy_Localization.txt:270","根島事件まとめ","The Nejima Murders (Overview)","txid_doc46_st","False","","",""
"Hazy_Localization.txt:271","志岐間誘拐事件まとめ","The Shigima Kidnapping (Overview)","txid_doc26_st","False","","",""
"Hazy_Localization.txt:272","白石美智代関連のメモ","Notes on Michiyo Shiraishi","txid_doc45_st","False","","",""
"Hazy_Localization.txt:273","吉見肇関連のメモ","Notes on Hajime Yoshimi","txid_doc44_st","False","","",""
"Hazy_Localization.txt:274","判明している呪主のメモ","Notes on Known Curse Bearers","txid_doc47_st","False","","",""
"Hazy_Localization.txt:275","なめどり","Mocking Birds","txid_doc39_st","False","","",""
"Hazy_Localization.txt:276","興家彰吾","Shogo Okiie","txid_strych_name_01","False","","",""
"Hazy_Localization.txt:277","志岐間春恵","Harue Shigima","txid_strych_name_02","False","","",""
"Hazy_Localization.txt:278","津詰徹生","Tetsuo Tsutsumi","txid_strych_name_03","False","","",""
"Hazy_Localization.txt:279","逆崎約子","Yakko Sakazaki","txid_strych_name_04","False","","",""
"Hazy_Localization.txt:280","蝶澤麻由","Mayu Chozawa","txid_strych_name_05","False","","",""
"Hazy_Localization.txt:281","「錦糸堀公園 Part1」","Kinshibori Park (Part 1)","txid_strych_title_a0_010","False","","",""
"Hazy_Localization.txt:282","「錦糸堀公園 Part2」","Kinshibori Park (Part 2)","txid_strych_title_a0_020","False","","",""
"Hazy_Localization.txt:283","「錦糸堀公園 Part3」","Kinshibori Park (Part 3)","txid_strych_title_a0_030","False","","",""
"Hazy_Localization.txt:284","「七不思議巡り Part1」","Quest for the Seven Mysteries (Part 1)","txid_strych_title_a0_040","False","","",""
"Hazy_Localization.txt:285","「七不思議巡り Part2」","Quest for the Seven Mysteries (Part 2)","txid_strych_title_a0_060","False","","",""
"Hazy_Localization.txt:286","「錦糸堀公園 Part3'」","Kinshibori Park (Part 3')","txid_strych_title_a0_110","False","","",""
"Hazy_Localization.txt:287","「錦糸堀公園 Part4」","Kinshibori Park (Part 4)","txid_strych_title_a0_120","False","","",""
"Hazy_Localization.txt:288","「解除」","Cleansing","txid_strych_title_a1_010","False","","",""
